timestamp,q0,qx,qy,qz
1770837224239310592,0.999972,-0.003468,0.004014,-0.005185,1
1770837224339306240,0.999972,-0.003832,0.004042,-0.005010,1
1770837224439219968,0.999970,-0.003825,0.004051,-0.005296,1
1770837224539125504,0.999969,-0.003833,0.004058,-0.005538,1
1770837224639115520,0.999968,-0.003842,0.004063,-0.005751,1
1770837224739035648,0.999967,-0.003846,0.004059,-0.005931,1
1770837224838945536,0.999966,-0.003868,0.004061,-0.006094,1
1770837224938936576,0.999965,-0.003879,0.004067,-0.006215,1
1770837225038857728,0.999964,-0.003893,0.004071,-0.006327,1
1770837225138773760,0.999964,-0.003891,0.004068,-0.006423,1
1770837225238775040,0.999963,-0.003901,0.004080,-0.006498,1
1770837225338697472,0.999963,-0.003892,0.004098,-0.006557,1
1770837225438626048,0.999962,-0.003892,0.004101,-0.006609,1
1770837225538632704,0.999962,-0.003894,0.004096,-0.006652,1
1770837225638553088,0.999962,-0.003899,0.004097,-0.006683,1
1770837225738464768,0.999961,-0.003932,0.004086,-0.006703,1
1770837225838457600,0.999961,-0.003939,0.004093,-0.006710,1
1770837225938379520,0.999961,-0.003933,0.004084,-0.006715,1
1770837226038295296,0.999961,-0.003942,0.004085,-0.006715,1
1770837226138294784,0.999961,-0.003935,0.004083,-0.006713,1
1770837226238220032,0.999961,-0.003928,0.004080,-0.006701,1
1770837226338145024,0.999962,-0.003938,0.004075,-0.006680,1
1770837226438141184,0.999962,-0.003942,0.004085,-0.006652,1
1770837226538066432,0.999962,-0.003956,0.004075,-0.006616,1
1770837226637982976,0.999962,-0.003962,0.004069,-0.006583,1
1770837226737983232,0.999962,-0.003971,0.004067,-0.006550,1
1770837226837909504,0.999963,-0.003975,0.004070,-0.006524,1
1770837226937825280,0.999963,-0.003975,0.004066,-0.006477,1
1770837227037825536,0.999963,-0.003975,0.004060,-0.006438,1
1770837227137752576,0.999963,-0.003977,0.004061,-0.006384,1
1770837227237670912,0.999964,-0.003973,0.004061,-0.006345,1
1770837227337674240,0.999964,-0.003971,0.004064,-0.006296,1
1770837227437609728,0.999964,-0.003958,0.004077,-0.006248,1
1770837227537528576,0.999965,-0.003955,0.004079,-0.006205,1
1770837227637541376,0.999965,-0.003954,0.004072,-0.006160,1
1770837227737490688,0.999965,-0.003947,0.004073,-0.006111,1
1770837227837424128,0.999965,-0.003958,0.004079,-0.006057,1
1770837227937429760,0.999966,-0.003958,0.004082,-0.006015,1
1770837228037363968,0.999966,-0.003954,0.004080,-0.005963,1
1770837228137283328,0.999966,-0.003944,0.004074,-0.005918,1
1770837228237288704,0.999967,-0.003929,0.004082,-0.005864,1
1770837228337228800,0.999967,-0.003931,0.004086,-0.005814,1
1770837228437170176,0.999967,-0.004024,0.004081,-0.005766,1
1770837228537178624,0.999967,-0.004012,0.004088,-0.005721,1
1770837228637126400,0.999967,-0.004015,0.004095,-0.005673,1
1770837228737048320,0.999968,-0.004004,0.004111,-0.005637,1
1770837228837078784,0.999968,-0.004002,0.004101,-0.005601,1
1770837228937026048,0.999968,-0.004013,0.004107,-0.005552,1
1770837229036976896,0.999968,-0.004014,0.004107,-0.005516,1
1770837229136994048,0.999968,-0.004044,0.004097,-0.005469,1
1770837229236936192,0.999969,-0.004023,0.004102,-0.005437,1
1770837229336883456,0.999969,-0.004016,0.004108,-0.005398,1
1770837229436896000,0.999969,-0.004021,0.004100,-0.005362,1
1770837229536841728,0.999969,-0.004023,0.004102,-0.005331,1
1770837229636771072,0.999969,-0.004033,0.004092,-0.005299,1
1770837229736781568,0.999970,-0.004027,0.004097,-0.005268,1
1770837229836722432,0.999970,-0.004023,0.004097,-0.005232,1
1770837229936655616,0.999970,-0.004008,0.004098,-0.005209,1
1770837230036667648,0.999970,-0.003997,0.004099,-0.005176,1
1770837230136608256,0.999970,-0.004009,0.004088,-0.005142,1
1770837230236541440,0.999970,-0.004017,0.004091,-0.005113,1
1770837230336552448,0.999971,-0.004026,0.004092,-0.005078,1
1770837230436495104,0.999971,-0.004018,0.004092,-0.005050,1
1770837230536428544,0.999971,-0.004030,0.004084,-0.005017,1
1770837230636441600,0.999971,-0.004036,0.004077,-0.004989,1
1770837230736402688,0.999971,-0.004023,0.004074,-0.004960,1
1770837230836336640,0.999971,-0.004026,0.004065,-0.004939,1
1770837230936349696,0.999972,-0.004022,0.004057,-0.004912,1
1770837231036292864,0.999972,-0.004068,0.004070,-0.004889,1
1770837231136233984,0.999972,-0.003922,0.004054,-0.004871,1
1770837231236266240,0.999972,-0.003997,0.004064,-0.004845,1
1770837231336222976,0.999972,-0.004010,0.004067,-0.004820,1
1770837231436156416,0.999972,-0.004025,0.004068,-0.004803,1
1770837231536175616,0.999972,-0.004033,0.004065,-0.004779,1
1770837231636126208,0.999972,-0.004022,0.004063,-0.004755,1
1770837231736058880,0.999972,-0.004033,0.004044,-0.004741,1
1770837231836074240,0.999973,-0.004045,0.004039,-0.004717,1
1770837231936022784,0.999973,-0.004036,0.004049,-0.004688,1
1770837232035956736,0.999973,-0.004030,0.004043,-0.004657,1
1770837232135989248,0.999973,-0.004031,0.004032,-0.004632,1
