FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Standard

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:timeInfo_deltaTime_estFilter,Timeseries,100Hz,,,,,,

DATA_START
Time,inertial-6286.188861:timeInfo_deltaTime_estFilter
02/20/26 19:48:14.297314816,0.01
02/20/26 19:48:14.307332608,0.01
02/20/26 19:48:14.317340416,0.01
02/20/26 19:48:14.327338752,0.01
02/20/26 19:48:14.337327360,0.01
02/20/26 19:48:14.347305984,0.01
02/20/26 19:48:14.357274624,0.01
02/20/26 19:48:14.367233536,0.01
02/20/26 19:48:14.377182464,0.01
02/20/26 19:48:14.387121920,0.01
02/20/26 19:48:14.397051904,0.01
02/20/26 19:48:14.406971904,0.01
02/20/26 19:48:14.416882176,0.01
02/20/26 19:48:14.426782720,0.01
02/20/26 19:48:14.436673536,0.01
02/20/26 19:48:14.446788096,0.01
02/20/26 19:48:14.456892672,0.01
02/20/26 19:48:14.466987520,0.01
02/20/26 19:48:14.477072128,0.01
02/20/26 19:48:14.487147008,0.01
02/20/26 19:48:14.497211648,0.01
02/20/26 19:48:14.507266560,0.01
02/20/26 19:48:14.517311232,0.01
02/20/26 19:48:14.527346176,0.01
02/20/26 19:48:14.537371136,0.01
02/20/26 19:48:14.547386368,0.01
02/20/26 19:48:14.557391616,0.01
02/20/26 19:48:14.567387392,0.01
02/20/26 19:48:14.577373184,0.01
02/20/26 19:48:14.587348992,0.01
02/20/26 19:48:14.597314816,0.01
02/20/26 19:48:14.607271168,0.01
02/20/26 19:48:14.617217536,0.01
02/20/26 19:48:14.627154432,0.01
02/20/26 19:48:14.637081600,0.01
02/20/26 19:48:14.646998784,0.01
02/20/26 19:48:14.656906496,0.01
02/20/26 19:48:14.666804224,0.01
02/20/26 19:48:14.676691968,0.01
02/20/26 19:48:14.686804480,0.01
02/20/26 19:48:14.696907264,0.01
02/20/26 19:48:14.706999808,0.01
02/20/26 19:48:14.717082368,0.01
02/20/26 19:48:14.727155456,0.01
02/20/26 19:48:14.737218560,0.01
02/20/26 19:48:14.747271680,0.01
02/20/26 19:48:14.757314560,0.01
02/20/26 19:48:14.767347456,0.01
02/20/26 19:48:14.777370880,0.01
02/20/26 19:48:14.787384320,0.01
02/20/26 19:48:14.797387520,0.01
02/20/26 19:48:14.807380992,0.01
02/20/26 19:48:14.817364224,0.01
02/20/26 19:48:14.827337984,0.01
02/20/26 19:48:14.837301760,0.01
02/20/26 19:48:14.847255296,0.01
02/20/26 19:48:14.857199104,0.01
02/20/26 19:48:14.867132672,0.01
02/20/26 19:48:14.877056768,0.01
02/20/26 19:48:14.886970880,0.01
02/20/26 19:48:14.896875008,0.01
02/20/26 19:48:14.906769152,0.01
02/20/26 19:48:14.916653568,0.01
02/20/26 19:48:14.926764288,0.01
02/20/26 19:48:14.936865024,0.01
02/20/26 19:48:14.946955776,0.01
02/20/26 19:48:14.957036288,0.01
02/20/26 19:48:14.967107072,0.01
02/20/26 19:48:14.977167872,0.01
02/20/26 19:48:14.987218432,0.01
02/20/26 19:48:14.997259008,0.01
02/20/26 19:48:15.007290112,0.01
02/20/26 19:48:15.017311232,0.01
02/20/26 19:48:15.027322112,0.01
02/20/26 19:48:15.037323008,0.01
02/20/26 19:48:15.047313920,0.01
02/20/26 19:48:15.057294848,0.01
02/20/26 19:48:15.067265792,0.01
02/20/26 19:48:15.077227008,0.01
02/20/26 19:48:15.087178496,0.01
02/20/26 19:48:15.097120768,0.01
02/20/26 19:48:15.107052800,0.01
02/20/26 19:48:15.116975104,0.01
02/20/26 19:48:15.126887168,0.01
02/20/26 19:48:15.136790016,0.01
02/20/26 19:48:15.146682624,0.01
02/20/26 19:48:15.156565504,0.01
02/20/26 19:48:15.166676224,0.01
02/20/26 19:48:15.176776960,0.01
02/20/26 19:48:15.186867968,0.01
02/20/26 19:48:15.196948736,0.01
02/20/26 19:48:15.207019520,0.01
02/20/26 19:48:15.217080320,0.01
02/20/26 19:48:15.227131648,0.01
02/20/26 19:48:15.237173248,0.01
02/20/26 19:48:15.247204608,0.01
02/20/26 19:48:15.257226496,0.01
02/20/26 19:48:15.267238144,0.01
02/20/26 19:48:15.277240064,0.01
02/20/26 19:48:15.287232000,0.01
02/20/26 19:48:15.297213952,0.01
02/20/26 19:48:15.307185920,0.01
02/20/26 19:48:15.317148416,0.01
02/20/26 19:48:15.327100928,0.01
02/20/26 19:48:15.337043456,0.01
02/20/26 19:48:15.346976512,0.01
02/20/26 19:48:15.356899840,0.01
02/20/26 19:48:15.366813184,0.01
02/20/26 19:48:15.376716544,0.01
02/20/26 19:48:15.386610432,0.01
02/20/26 19:48:15.396494592,0.01
02/20/26 19:48:15.406603520,0.01
02/20/26 19:48:15.416702464,0.01
02/20/26 19:48:15.426791168,0.01
02/20/26 19:48:15.436870144,0.01
02/20/26 19:48:15.446939136,0.01
02/20/26 19:48:15.456997888,0.01
02/20/26 19:48:15.467046656,0.01
02/20/26 19:48:15.477085696,0.01
02/20/26 19:48:15.487114752,0.01
02/20/26 19:48:15.497133568,0.01
02/20/26 19:48:15.507142400,0.01
02/20/26 19:48:15.517141760,0.01
02/20/26 19:48:15.527131648,0.01
02/20/26 19:48:15.537111296,0.01
02/20/26 19:48:15.547081472,0.01
02/20/26 19:48:15.557041664,0.01
02/20/26 19:48:15.566991616,0.01
02/20/26 19:48:15.576932096,0.01
02/20/26 19:48:15.586862848,0.01
02/20/26 19:48:15.596783616,0.01
02/20/26 19:48:15.606694144,0.01
02/20/26 19:48:15.616594944,0.01
02/20/26 19:48:15.626486016,0.01
02/20/26 19:48:15.636367360,0.01
02/20/26 19:48:15.646475008,0.01
02/20/26 19:48:15.656572928,0.01
02/20/26 19:48:15.666660352,0.01
02/20/26 19:48:15.676738048,0.01
02/20/26 19:48:15.686806016,0.01
02/20/26 19:48:15.696863744,0.01
02/20/26 19:48:15.706911488,0.01
02/20/26 19:48:15.716949504,0.01
02/20/26 19:48:15.726977536,0.01
02/20/26 19:48:15.736995328,0.01
02/20/26 19:48:15.747003136,0.01
02/20/26 19:48:15.757001216,0.01
02/20/26 19:48:15.766989312,0.01
02/20/26 19:48:15.776967424,0.01
02/20/26 19:48:15.786935808,0.01
02/20/26 19:48:15.796894720,0.01
02/20/26 19:48:15.806843648,0.01
02/20/26 19:48:15.816782848,0.01
02/20/26 19:48:15.826712320,0.01
02/20/26 19:48:15.836632064,0.01
02/20/26 19:48:15.846541568,0.01
02/20/26 19:48:15.856441600,0.01
02/20/26 19:48:15.866331904,0.01
02/20/26 19:48:15.876449536,0.01
02/20/26 19:48:15.886557184,0.01
02/20/26 19:48:15.896654336,0.01
02/20/26 19:48:15.906741760,0.01
02/20/26 19:48:15.916818944,0.01
02/20/26 19:48:15.926886144,0.01
02/20/26 19:48:15.936943872,0.01
02/20/26 19:48:15.946991360,0.01
02/20/26 19:48:15.957029120,0.01
02/20/26 19:48:15.967056896,0.01
02/20/26 19:48:15.977074432,0.01
02/20/26 19:48:15.987081984,0.01
02/20/26 19:48:15.997079808,0.01
02/20/26 19:48:16.007067648,0.01
02/20/26 19:48:16.017045248,0.01
02/20/26 19:48:16.027013120,0.01
02/20/26 19:48:16.036971008,0.01
02/20/26 19:48:16.046919168,0.01
02/20/26 19:48:16.056857344,0.01
02/20/26 19:48:16.066785792,0.01
02/20/26 19:48:16.076704000,0.01
02/20/26 19:48:16.086612736,0.01
02/20/26 19:48:16.096511744,0.01
02/20/26 19:48:16.106400768,0.01
02/20/26 19:48:16.116517632,0.01
02/20/26 19:48:16.126625024,0.01
02/20/26 19:48:16.136722176,0.01
02/20/26 19:48:16.146809344,0.01
02/20/26 19:48:16.156886272,0.01
02/20/26 19:48:16.166953728,0.01
02/20/26 19:48:16.177011200,0.01
02/20/26 19:48:16.187058176,0.01
02/20/26 19:48:16.197095168,0.01
02/20/26 19:48:16.207122432,0.01
02/20/26 19:48:16.217139712,0.01
02/20/26 19:48:16.227147008,0.01
02/20/26 19:48:16.237144576,0.01
02/20/26 19:48:16.247131904,0.01
02/20/26 19:48:16.257109504,0.01
02/20/26 19:48:16.267076864,0.01
02/20/26 19:48:16.277034752,0.01
02/20/26 19:48:16.286982656,0.01
02/20/26 19:48:16.296920832,0.01
02/20/26 19:48:16.306849536,0.01
02/20/26 19:48:16.316768256,0.01
02/20/26 19:48:16.326676992,0.01
02/20/26 19:48:16.336575744,0.01
02/20/26 19:48:16.346465024,0.01
02/20/26 19:48:16.356582144,0.01
02/20/26 19:48:16.366689280,0.01
02/20/26 19:48:16.376786176,0.01
02/20/26 19:48:16.386873088,0.01
02/20/26 19:48:16.396950272,0.01
02/20/26 19:48:16.407017472,0.01
02/20/26 19:48:16.417074432,0.01
02/20/26 19:48:16.427121664,0.01
02/20/26 19:48:16.437158656,0.01
02/20/26 19:48:16.447185920,0.01
02/20/26 19:48:16.457202944,0.01
02/20/26 19:48:16.467210752,0.01
02/20/26 19:48:16.477208576,0.01
02/20/26 19:48:16.487196416,0.01
02/20/26 19:48:16.497174784,0.01
02/20/26 19:48:16.507143168,0.01
02/20/26 19:48:16.517101312,0.01
02/20/26 19:48:16.527049728,0.01
02/20/26 19:48:16.536988160,0.01
02/20/26 19:48:16.546916608,0.01
02/20/26 19:48:16.556835840,0.01
02/20/26 19:48:16.566745856,0.01
02/20/26 19:48:16.576646144,0.01
02/20/26 19:48:16.586536448,0.01
02/20/26 19:48:16.596653056,0.01
02/20/26 19:48:16.606759680,0.01
02/20/26 19:48:16.616856576,0.01
02/20/26 19:48:16.626942976,0.01
02/20/26 19:48:16.637019648,0.01
02/20/26 19:48:16.647086336,0.01
02/20/26 19:48:16.657143296,0.01
02/20/26 19:48:16.667190016,0.01
02/20/26 19:48:16.677227008,0.01
02/20/26 19:48:16.687253760,0.01
02/20/26 19:48:16.697270528,0.01
02/20/26 19:48:16.707277568,0.01
02/20/26 19:48:16.717274624,0.01
02/20/26 19:48:16.727261440,0.01
02/20/26 19:48:16.737238784,0.01
02/20/26 19:48:16.747206656,0.01
02/20/26 19:48:16.757164288,0.01
02/20/26 19:48:16.767112192,0.01
02/20/26 19:48:16.777050112,0.01
02/20/26 19:48:16.786978304,0.01
02/20/26 19:48:16.796896512,0.01
02/20/26 19:48:16.806804992,0.01
02/20/26 19:48:16.816703488,0.01
02/20/26 19:48:16.826592256,0.01
02/20/26 19:48:16.836706816,0.01
02/20/26 19:48:16.846811648,0.01
02/20/26 19:48:16.856906240,0.01
02/20/26 19:48:16.866991104,0.01
02/20/26 19:48:16.877065728,0.01
02/20/26 19:48:16.887130624,0.01
02/20/26 19:48:16.897185792,0.01
02/20/26 19:48:16.907230720,0.01
02/20/26 19:48:16.917265920,0.01
02/20/26 19:48:16.927291136,0.01
02/20/26 19:48:16.937306880,0.01
02/20/26 19:48:16.947312640,0.01
02/20/26 19:48:16.957308160,0.01
02/20/26 19:48:16.967293952,0.01
02/20/26 19:48:16.977270272,0.01
02/20/26 19:48:16.987236608,0.01
02/20/26 19:48:16.997193472,0.01
02/20/26 19:48:17.007140352,0.01
02/20/26 19:48:17.017076992,0.01
02/20/26 19:48:17.027004160,0.01
02/20/26 19:48:17.036921344,0.01
02/20/26 19:48:17.046828288,0.01
02/20/26 19:48:17.056725760,0.01
02/20/26 19:48:17.066613504,0.01
02/20/26 19:48:17.076726272,0.01
02/20/26 19:48:17.086829056,0.01
02/20/26 19:48:17.096921856,0.01
02/20/26 19:48:17.107004928,0.01
02/20/26 19:48:17.117077760,0.01
02/20/26 19:48:17.127140608,0.01
02/20/26 19:48:17.137193728,0.01
02/20/26 19:48:17.147236864,0.01
02/20/26 19:48:17.157269760,0.01
02/20/26 19:48:17.167292928,0.01
02/20/26 19:48:17.177306112,0.01
02/20/26 19:48:17.187309312,0.01
02/20/26 19:48:17.197303040,0.01
02/20/26 19:48:17.207286784,0.01
02/20/26 19:48:17.217260288,0.01
02/20/26 19:48:17.227224064,0.01
02/20/26 19:48:17.237177600,0.01
02/20/26 19:48:17.247121664,0.01
02/20/26 19:48:17.257055744,0.01
02/20/26 19:48:17.266979840,0.01
02/20/26 19:48:17.276894208,0.01
02/20/26 19:48:17.286798592,0.01
02/20/26 19:48:17.296693248,0.01
02/20/26 19:48:17.306577920,0.01
02/20/26 19:48:17.316690432,0.01
02/20/26 19:48:17.326792960,0.01
02/20/26 19:48:17.336885760,0.01
02/20/26 19:48:17.346968320,0.01
02/20/26 19:48:17.357040896,0.01
02/20/26 19:48:17.367103488,0.01
02/20/26 19:48:17.377156096,0.01
02/20/26 19:48:17.387198976,0.01
02/20/26 19:48:17.397231872,0.01
02/20/26 19:48:17.407255040,0.01
02/20/26 19:48:17.417268224,0.01
02/20/26 19:48:17.427271424,0.01
02/20/26 19:48:17.437264896,0.01
02/20/26 19:48:17.447248128,0.01
02/20/26 19:48:17.457221632,0.01
02/20/26 19:48:17.467185152,0.01
02/20/26 19:48:17.477138688,0.01
02/20/26 19:48:17.487082496,0.01
02/20/26 19:48:17.497016064,0.01
02/20/26 19:48:17.506940160,0.01
02/20/26 19:48:17.516854272,0.01
02/20/26 19:48:17.526758400,0.01
02/20/26 19:48:17.536652544,0.01
02/20/26 19:48:17.546536960,0.01
02/20/26 19:48:17.556647680,0.01
02/20/26 19:48:17.566748416,0.01
02/20/26 19:48:17.576839424,0.01
02/20/26 19:48:17.586920192,0.01
02/20/26 19:48:17.596990976,0.01
02/20/26 19:48:17.607051776,0.01
02/20/26 19:48:17.617102592,0.01
02/20/26 19:48:17.627143680,0.01
02/20/26 19:48:17.637174528,0.01
02/20/26 19:48:17.647195648,0.01
02/20/26 19:48:17.657206528,0.01
02/20/26 19:48:17.667207680,0.01
02/20/26 19:48:17.677198592,0.01
02/20/26 19:48:17.687179776,0.01
02/20/26 19:48:17.697150720,0.01
