Time,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ
1773414804993986304,-2.551269517425681e-06,-2.065622720692772e-05,-0.009964914992451668,-1.374497458073165e-07,-3.728762749233283e-06,2.005102487601107e-06
1773414805003969792,-4.839805114897899e-06,-2.084556763293222e-05,-0.009956355206668377,1.806515570024203e-06,-6.375065822794568e-06,5.618519935524091e-06
1773414805013857024,-2.643439756866428e-06,-2.645584208949003e-05,-0.009971431456506252,-8.308535370815662e-07,-1.129330598814704e-06,8.985743988887407e-07
1773414805023650816,-5.984601330055739e-07,-2.03818672162015e-05,-0.009947734884917736,-3.352846988491365e-06,-8.269451541309536e-07,2.611141781017068e-06
1773414805033363456,-2.976551968458807e-06,-2.857046820281539e-05,-0.009973646141588688,-2.36607206716144e-06,7.348476742663479e-07,3.990439836343285e-06
1773414805043305472,-1.186873532788013e-06,-2.146895531041082e-05,-0.009965281002223492,-6.209778803167865e-06,-7.447652592418308e-07,4.401755177241284e-06
1773414805053633792,-7.00470081937965e-06,-2.489691541995853e-05,-0.009953032247722149,-7.009195542195812e-06,4.348910806584172e-06,2.256420543744753e-07
1773414805063863552,-5.779775165137835e-06,-3.107249358436093e-05,-0.009978452697396278,-1.103032627725042e-05,-1.391492446600751e-06,3.375616302037088e-07
1773414805074002176,-7.988006473169662e-06,-2.528169898141641e-05,-0.009954428300261497,-6.735333499818807e-06,9.121372954723483e-07,2.541913545428542e-06
1773414805084044032,-6.76770423524431e-06,-2.188696635130327e-05,-0.009971325285732746,-1.483292453485774e-05,-8.202468052331824e-06,8.594396376793156e-07
1773414805093997312,8.626420822110958e-07,-3.070023012696765e-05,-0.009951950050890446,-1.107339903683169e-05,3.513940555421868e-06,2.465709485477419e-06
1773414805103849984,3.022778628292144e-06,-1.320661249337718e-05,-0.009965340606868267,-3.372165110704373e-06,3.546182369973394e-06,7.612969454839913e-08
1773414805113609472,-3.678425400721608e-06,-2.637491706991568e-05,-0.009974628686904907,-6.373833798534179e-07,-3.917975391232176e-06,-6.489583483926253e-06
1773414805123283968,-1.696312210697215e-06,-2.211073842772748e-05,-0.009949750266969204,-2.083265644614585e-05,6.960736300243298e-06,3.095598913205322e-06
1773414805133509632,4.279447125554725e-07,-2.544232120271772e-05,-0.009973678737878799,1.639667061681394e-06,-8.150933354045264e-06,1.420773401150655e-07
1773414805143797248,-4.299630290915957e-06,-2.618639700813219e-05,-0.009951566345989704,5.383124516811222e-06,-1.748008457980177e-06,4.932232513965573e-06
1773414805153988608,-6.775937436032109e-06,-1.821231853682548e-05,-0.009969064965844154,-7.073859705997165e-06,1.118422900958649e-07,1.820518491513212e-08
1773414805164085760,-7.428891876770649e-06,-2.136171860911418e-05,-0.009955409914255142,-6.424247658287641e-06,6.483084007413709e-07,4.606295078701805e-06
1773414805174087168,-6.211716026882641e-06,-2.702190431591589e-05,-0.0099601149559021,-9.299456905864645e-06,1.715916084776836e-07,2.714794391067699e-06
1773414805184003328,-7.812484909663908e-06,-2.323145781701896e-05,-0.009968450292944908,-2.118273732776288e-05,2.966427700812346e-06,1.125664198298182e-06
1773414805193818624,-1.172167685581371e-06,-1.84792879736051e-05,-0.009943071752786636,-1.173340388049837e-05,-1.403082387696486e-05,-1.172009774563776e-06
1773414805203543296,-2.739576302701607e-06,-2.303996734553948e-05,-0.009980578906834126,-9.054791917151306e-06,3.981343070336152e-06,-3.016131131516886e-06
1773414805213257984,3.185814421158284e-06,-7.909372470749076e-06,-0.009948808699846268,-1.012831398838898e-05,-1.701541918919247e-06,2.186531901315902e-06
1773414805223604992,-2.971027925013914e-06,-2.74736503342865e-05,-0.009977320209145546,-3.771981937461533e-06,-5.391499144025147e-06,-4.187622380413814e-06
1773414805233851136,-3.917868980352068e-06,-2.410502384009305e-05,-0.009960751049220562,5.601002044386405e-07,-3.333732365717879e-06,5.97498592469492e-06
1773414805243999488,2.418813437543577e-06,-1.671303471084684e-05,-0.009946905076503754,-9.027848136611283e-06,-5.728613359679002e-06,5.908006642130204e-06
1773414805254059264,-6.558773861797818e-07,-2.436274371575564e-05,-0.009969624690711498,1.604286921974563e-06,-8.595163308200426e-06,5.690889793186216e-06
1773414805264026112,-1.311580945184687e-06,-1.876796159194782e-05,-0.009953735396265984,-3.081011982430937e-06,2.544262542869546e-06,-3.246087999286829e-06
1773414805273916160,-6.771429639229609e-07,-2.772559855657164e-05,-0.009972251951694489,-2.015660902543459e-05,-8.566611541027669e-06,-3.520053951433511e-06
1773414805283694080,5.89628427860589e-07,-1.789639281923883e-05,-0.009950206615030766,-2.429081575883174e-07,-4.752807853947161e-06,2.283015874127159e-06
1773414805293380608,-8.842796887620352e-06,-2.557152583904099e-05,-0.009970437735319138,1.409590822731843e-06,-5.388681984186405e-06,5.691787009709515e-06
