Time,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ
1773412384778972928,-1.952277443706407e-06,-2.947501798189478e-06,3.140845592497499e-06,4.763910226301959e-07,-1.849200634751469e-05,-0.009953894652426243
1773412384788798208,-8.010323654161766e-06,-8.235365953623841e-07,-1.248606736226066e-06,-7.046979817459942e-07,-1.907383557409048e-05,-0.009964286349713802
1773412384798512640,2.139641310350271e-06,-7.896676379459677e-07,8.913944839150645e-06,-3.168592229485512e-06,-2.14358587982133e-05,-0.009966651909053326
1773412384808216320,2.675230916793225e-06,2.831606252584606e-06,2.923429519796628e-06,-3.760156914722756e-06,-1.699047788861208e-05,-0.009963423945009708
1773412384818574080,-2.981460056616925e-06,3.711996441779775e-06,8.111083843687084e-06,-2.2647810737908e-07,-2.016418329731096e-05,-0.009967162273824215
1773412384828832512,-2.454529067108524e-06,-2.165968908229843e-06,-7.302589892788092e-07,5.304040314513259e-06,-1.892784166557249e-05,-0.009949447587132454
1773412384838992384,4.774828084919136e-06,5.62030436412897e-07,6.909468993399059e-06,-6.34881985206448e-07,-1.664946830715053e-05,-0.0099655631929636
1773412384849053184,6.652141109952936e-06,4.148191692365799e-06,5.590306955127744e-06,-1.563073169563722e-06,-2.000608947128057e-05,-0.009967024438083172
1773412384859025664,3.186862159054726e-06,-1.198425024995231e-06,4.958970748702995e-06,-6.718221925439138e-07,-2.382167440373451e-05,-0.009961517527699471
1773412384878719232,-2.068012008749065e-06,-1.902614599202934e-06,5.332315140549326e-06,2.082036871797754e-06,-1.990074088098481e-05,-0.009954688139259815
1773412384888407552,-7.113803803804331e-06,6.371677045535762e-06,1.689093437562406e-06,3.850434040941764e-06,-1.749786315485835e-05,-0.009963248856365681
1773412384898248960,1.53077428421966e-06,-2.235833790109609e-06,6.239255981199676e-06,-7.523730118919048e-07,-2.004317866521887e-05,-0.009955464862287045
1773412384908568064,5.946300802861515e-07,-8.026391697057988e-06,2.124348156939959e-06,2.110247805831023e-06,-1.865112244558986e-05,-0.009967156685888767
1773412384918788096,-2.796998160192743e-06,-2.237433363916352e-06,6.672135896224063e-06,6.37004745840386e-07,-1.250458717549918e-05,-0.009959996677935123
1773412384928908032,2.266919182147831e-06,-3.013408331753453e-06,6.303850568656344e-06,-3.947253389924299e-06,-1.432571571058361e-05,-0.009957415051758289
