Time,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ
1773411669904409344,-0.0001661959104239941,3.342552008689381e-05,-2.079309808777907e-07,-1.331389648839831e-05,-0.0001113980397349223,-0.01000475231558084
1773411669914526464,-0.0001381850597681478,3.336449663038366e-05,3.535408723109867e-06,3.069102604058571e-05,0.0001386200019624084,-0.009901279583573341
1773411669924547584,9.231299191014841e-05,-2.192829742853064e-05,1.047804016707232e-05,-1.082029302779119e-05,-7.907651161076501e-05,-0.009999013505876064
1773411669934479360,3.121282497886568e-05,-4.28676094088587e-06,5.503196462086635e-06,7.295307113963645e-06,-5.084735221316805e-06,-0.009933347813785076
1773411669944318208,3.123480928479694e-05,-3.794744770857506e-06,2.00062810762347e-09,-6.847581062174868e-07,-5.257634620647877e-05,-0.009978101588785648
1773411669954061312,-6.39574063825421e-05,1.163991055364022e-05,-2.146831093341461e-06,-6.892684723425191e-06,-4.189899118500762e-05,-0.009975695051252842
1773411669963790592,-9.061302989721298e-05,1.803174382075667e-05,-4.487434580369154e-06,8.996188626042567e-06,-8.821060873742681e-06,-0.0099547253921628
1773411669974159360,-1.007186256174464e-05,7.259519406943582e-06,-5.626467554975534e-06,-8.384056400245754e-07,-1.941234222613275e-05,-0.009957323782145977
1773411669984427264,-3.004920472449157e-06,4.386897103358933e-07,4.659996193367988e-06,4.415832790982677e-06,-2.099848461512011e-05,-0.00994732603430748
1773411669994578432,6.865088266749808e-07,2.438288902339991e-06,3.740974989341339e-06,-1.784698270057561e-06,-5.608009814750403e-06,-0.00997364055365324
1773411670004651008,1.284132667933591e-05,-5.343435987015255e-06,-5.096824679640122e-06,1.838089247030439e-06,-3.006660335813649e-05,-0.009960327297449112
1773411670014627328,-9.087144462682772e-06,1.543194343867071e-06,5.122458333062241e-06,4.005964910902549e-06,-3.472648677416146e-05,-0.009965034201741219
1773411670024510208,-3.282130273873918e-05,-2.913694970629876e-06,5.125122697791085e-06,-1.198447762362775e-06,-4.921613799524494e-05,-0.009962365962564945
1773411670034298880,-2.682115518837236e-05,1.715172288641043e-06,1.742095150802925e-06,4.724189238913823e-06,-3.206557266821619e-06,-0.009952563792467117
1773411670043996160,-4.44663419330027e-06,8.236834219133016e-06,-2.918756365488662e-07,4.827859811484814e-06,-1.093710670829751e-05,-0.009962767362594604
1773411670053850112,2.329875769646605e-06,-8.103916115942411e-06,3.117689630016685e-06,6.146199780232564e-07,-2.549748569435906e-05,-0.009958137758076191
1773411670064180480,2.991927658513305e-06,5.232901116869471e-07,8.932040145737119e-06,2.904774191847537e-06,-1.945404255820904e-05,-0.009958640672266483
1773411670074411008,2.094636101901415e-06,-1.599473989699618e-06,8.114639967971016e-06,-3.111402975264355e-07,-2.513784784241579e-05,-0.009958253242075443
1773411670084526592,4.403012098919135e-06,-5.012355813960312e-06,4.351488314568996e-06,4.890725904260762e-06,-2.696053707040846e-05,-0.009952466003596783
