Time,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ
1773426550860621824,3.004117388627492e-06,-4.562948015518486e-05,-0.009954004548490047
1773426550870961152,1.355745189357549e-05,-4.138236909057014e-05,-0.009957898408174515
1773426550881200896,7.739462489553262e-06,-7.009076216490939e-05,-0.00996254850178957
1773426550891345408,1.206283195642754e-05,-7.478535553673282e-05,-0.009961449541151524
1773426550901399552,1.268935466214316e-05,4.578488642437151e-06,-0.009965073317289352
1773426550911356672,1.161685759143438e-05,-2.573951132944785e-05,-0.009958406910300255
1773426550921218304,1.456258996768156e-05,-8.307240932481363e-06,-0.00995961856096983
1773426550930986496,1.512929156888276e-05,-4.390116009744816e-05,-0.009961698204278946
1773426550940659968,1.326001347479178e-05,-1.645920201553963e-05,-0.009957730770111084
1773426550950812416,1.088349927158561e-05,-5.987120857753325e-06,-0.00996372289955616
1773426550961110784,1.742297354212496e-05,3.898533032042906e-05,-0.009962351061403751
1773426550971314432,8.276573680632282e-06,7.928445120342076e-05,-0.009951848536729813
1773426550981424640,3.860541619360447e-05,0.000172676911461167,-0.009975552558898926
1773426550991427328,0.0001895232853712514,0.0005930197075940669,-0.01005931105464697
1773426551001345280,0.0003701180103234947,-0.0004599844687618315,-0.01028280239552259
1773426551011171328,-0.0004609051975421607,-0.001148172887042165,-0.009933501482009888
1773426551020902144,-2.05063697649166e-05,0.000265404669335112,-0.009760202839970589
1773426551030539264,-1.760635677783284e-05,0.0002315885212738067,-0.01001101359724998
1773426551040898560,-2.774337008304428e-05,5.204221815802157e-05,-0.009931597858667374
1773426551051161088,3.973157618020196e-06,5.661133764078841e-05,-0.009971535764634609
1773426551061325568,1.056552446243586e-05,-7.763487519696355e-05,-0.009938870556652546
1773426551071394304,2.084467814711388e-05,-0.0002205230412073433,-0.009973497129976749
1773426551081375232,5.620655883831205e-06,3.115166236966616e-06,-0.00994406919926405
1773426551091263744,-1.642705342419504e-06,-1.225710002472624e-05,-0.00996739137917757
1773426551101057024,-2.670669573490159e-06,9.668456186773255e-07,-0.009964372962713242
