FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,01/01/70 00:00:00.000000000
TimeFormat,Relative

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:scaledAccelX,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledAccelY,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledAccelZ,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaThetaX,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaThetaY,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaThetaZ,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaVelX,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaVelY,Timeseries,200Hz,,,,,,
inertial-6286.188861:deltaVelZ,Timeseries,200Hz,,,,,,
inertial-6286.188861:timeInfo_deltaTime_ahrsImu,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledMagX,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledMagY,Timeseries,200Hz,,,,,,
inertial-6286.188861:scaledMagZ,Timeseries,200Hz,,,,,,

DATA_START
Time,inertial-6286.188861:scaledAccelX,inertial-6286.188861:scaledAccelY,inertial-6286.188861:scaledAccelZ,inertial-6286.188861:deltaThetaX,inertial-6286.188861:deltaThetaY,inertial-6286.188861:deltaThetaZ,inertial-6286.188861:deltaVelX,inertial-6286.188861:deltaVelY,inertial-6286.188861:deltaVelZ,inertial-6286.188861:timeInfo_deltaTime_ahrsImu,inertial-6286.188861:scaledMagX,inertial-6286.188861:scaledMagY,inertial-6286.188861:scaledMagZ
31.099952698,-0.0004517692723311484,-0.005932194646447897,-0.9960398077964783,1.150322646026325e-06,2.493051624696818e-06,-3.621639052653336e-06,-2.146126689694938e-06,-3.220291546313092e-05,-0.004983320366591215,0.005,-0.3611684143543243,-0.04184136539697647,0.4034540057182312
31.105039597,-0.0004350397503003478,-0.005823711398988962,-0.9955846071243286,2.278213969475473e-06,-3.915299203072209e-06,2.15889013333026e-08,-2.24830728257075e-06,-2.805763324431609e-05,-0.004975314252078533,0.005,-0.3612433671951294,-0.04177088662981987,0.4021822512149811
31.110107422,-0.0004020243359263986,-0.006415869109332561,-0.9959697127342224,1.551939249111456e-06,-1.047850560098595e-06,2.103507767969859e-06,-2.089887402689783e-06,-3.571650086087175e-05,-0.004981725476682186,0.005,-0.3613462746143341,-0.04194709658622742,0.402132123708725
31.115146637,-0.0001754616387188435,-0.005983619019389153,-0.9956962466239929,6.204105034157692e-07,-6.32887713436503e-06,-1.846572672548064e-06,4.120544190300279e-07,-2.720701559155714e-05,-0.00497691985219717,0.005,-0.3611139059066772,-0.04214339703321457,0.4014944434165955
31.120162964,-7.029746484477073e-05,-0.006155852228403091,-0.9958751797676086,9.208339974975388e-07,-3.431577169976663e-06,-5.429467364592711e-07,3.355851845299185e-07,-3.132189885945991e-05,-0.004980538971722126,0.005,-0.3611538112163544,-0.04176636412739754,0.4027311503887177
31.125156403,-0.0003628218255471438,-0.005870577413588762,-0.996187150478363,-1.391562420849368e-07,2.890733412641566e-06,9.384630317299525e-08,-3.45252601618995e-06,-2.785355536616407e-05,-0.004983166698366404,0.005,-0.3613074719905853,-0.04163454473018646,0.4022998809814453
31.130125046,-0.0003952887491323054,-0.005521777551621199,-0.9958242774009705,4.696926680480829e-06,-1.714516656647902e-06,-2.448648956487887e-06,-2.374631321799825e-06,-2.550994759076275e-05,-0.004976604133844376,0.005,-0.3616343438625336,-0.04178071394562721,0.4032979607582092
31.135070801,-0.0002824667608365417,-0.005918501410633326,-0.9960971474647522,2.915222012234153e-06,-3.510466740408447e-06,4.544990872545895e-07,-5.921857564317179e-07,-3.235526673961431e-05,-0.004982734564691782,0.005,-0.3609381020069122,-0.04176367074251175,0.402546226978302
31.139991760,-4.520472430158406e-05,-0.005868323612958193,-0.9956175088882446,-1.872179268502805e-06,4.474084960293112e-07,-1.299142013522214e-06,1.093932610274351e-06,-2.890326322813053e-05,-0.004975290037691593,0.005,-0.3613761961460114,-0.04205965623259544,0.4028062224388123
31.144887924,-0.0001492008450441062,-0.00585032906383276,-0.9960098266601562,4.642153271561256e-06,-4.364182586868992e-06,1.023366280605842e-06,-1.199619987346523e-06,-2.915780714829452e-05,-0.004982082173228264,0.005,-0.3614663183689117,-0.04219038039445877,0.401628702878952
31.149765015,-0.0001599528186488897,-0.005523215513676405,-0.9959878921508789,-1.895172196952899e-08,-5.343192697182531e-06,2.693984768598057e-08,-7.615479944433901e-07,-2.568857053120155e-05,-0.004980397876352072,0.005,-0.3606352508068085,-0.0425388514995575,0.4020196497440338
