ts,utm_x,utm_y,z,utm_zone_n,utm_zone_l,heading,inx_x,inx_y,inx_z,inx_yaw
A9F9485C00000000,D29CA601,F7DBC633,592D0000,12000000,4C000000,7C8A0000,5B110000,49F5FFFF,C6170000,55020000
0FFA485C00000000,D19CA601,FADBC633,592D0000,12000000,4C000000,EA8A0000,5E110000,47F5FFFF,E0170000,C3020000
73FA485C00000000,D19CA601,FDDBC633,592D0000,12000000,4C000000,5C8B0000,60110000,45F5FFFF,FA170000,35030000
D5FA485C00000000,D19CA601,00DCC633,592D0000,12000000,4C000000,D08B0000,63110000,44F5FFFF,13180000,A9030000
3BFB485C00000000,D19CA601,03DCC633,592D0000,12000000,4C000000,4D8C0000,65110000,43F5FFFF,2D180000,26040000
9FFB485C00000000,D19CA601,06DCC633,592D0000,12000000,4C000000,DF8C0000,68110000,44F5FFFF,47180000,B8040000
01FC485C00000000,D19CA601,09DCC633,592D0000,12000000,4C000000,7C8D0000,6C110000,45F5FFFF,60180000,55050000
67FC485C00000000,D19CA601,0EDCC633,592D0000,12000000,4C000000,278E0000,6F110000,47F5FFFF,7A180000,00060000
CBFC485C00000000,D29CA601,13DCC633,592D0000,12000000,4C000000,E68E0000,73110000,4BF5FFFF,94180000,BF060000
30FD485C00000000,D39CA601,1ADCC633,592D0000,12000000,4C000000,AF8F0000,78110000,50F5FFFF,AD180000,88070000
93FD485C00000000,D49CA601,22DCC633,592D0000,12000000,4C000000,9A900000,7D110000,57F5FFFF,C7180000,73080000
F6FD485C00000000,D79CA601,2CDCC633,592D0000,12000000,4C000000,95910000,82110000,5FF5FFFF,E1180000,6E090000
5DFE485C00000000,DA9CA601,38DCC633,592D0000,12000000,4C000000,95920000,87110000,6BF5FFFF,FB180000,6E0A0000
BFFE485C00000000,DE9CA601,46DCC633,592D0000,12000000,4C000000,A9930000,8D110000,78F5FFFF,15190000,820B0000
25FF485C00000000,E49CA601,55DCC633,592D0000,12000000,4C000000,BD940000,93110000,87F5FFFF,2F190000,960C0000
89FF485C00000000,EB9CA601,65DCC633,592D0000,12000000,4C000000,D5950000,99110000,98F5FFFF,49190000,AE0D0000
ECFF485C00000000,F49CA601,76DCC633,592D0000,12000000,4C000000,DD960000,A0110000,AAF5FFFF,62190000,B60E0000
